policy_id,snapshot_date,issue_date,status,product_type,state,urbanicity,distribution_channel,payment_mode,autopay_flag,current_age,income_estimate,face_amount,annualized_premium,premium_paid_last_3m,missed_payment_count_6m,agent_touch_count_12m,cash_value,loan_balance,address_change_12m,irrelevant_marketing_score
P10111,2024-03-01,2022-12-01,active,Universal Life,IL,suburban,Broker,monthly,1,63.2,83255.47,150000,793.14,198.29,0,3,62.54,0.0,0,30
P10200,2023-09-01,2022-07-01,active,Term Life,CA,suburban,Agent,monthly,0,60.2,22183.77,150000,473.67,118.42,1,2,0.0,0.0,0,36
P10018,2024-06-01,2017-09-01,active,Term Life,FL,suburban,Direct,monthly,1,74.8,86978.9,100000,814.12,203.53,0,0,0.0,0.0,0,42
P10090,2023-10-01,2018-11-01,active,Universal Life,OH,urban,Broker,monthly,1,55.9,29182.44,500000,4209.27,1052.32,1,3,2270.03,0.0,0,56
P10147,2023-10-01,2023-11-01,active,Term Life,CA,rural,Agent,quarterly,1,37.0,132559.52,250000,185.92,139.44,0,0,0.0,0.0,0,9
P10153,2024-02-01,2019-08-01,active,Term Life,CA,suburban,Agent,monthly,0,78.5,38165.67,150000,694.1,173.52,1,3,0.0,0.0,0,7
P10071,2023-09-01,2016-02-01,active,Universal Life,TX,urban,Direct,monthly,1,42.6,54846.94,1000000,5254.71,1313.68,0,3,4568.32,0.0,0,18
P10090,2023-01-01,2018-11-01,active,Universal Life,OH,urban,Broker,monthly,1,55.2,29182.44,500000,4209.27,1052.32,0,2,1080.39,422.21,0,9
P10006,2024-06-01,2022-06-01,active,Universal Life,IL,urban,Agent,quarterly,1,43.0,59471.17,150000,166.31,124.73,1,1,62.38,0.0,0,6
P10201,2024-11-01,2021-01-01,active,Term Life,TX,urban,Agent,quarterly,0,31.8,59947.89,500000,736.56,552.42,5,2,0.0,0.0,0,70
P10164,2024-06-01,2023-09-01,active,Term Life,AZ,urban,Agent,monthly,1,32.8,43065.72,100000,669.63,167.41,0,3,0.0,0.0,1,45
P10022,2023-04-01,2020-09-01,active,Universal Life,PA,urban,Bank,monthly,0,28.6,66056.16,250000,1010.0,252.5,0,4,335.39,0.0,0,22
P10166,2024-11-01,2015-09-01,active,Universal Life,NY,suburban,Bank,monthly,1,78.2,50429.33,500000,4141.13,1035.28,1,3,4812.85,0.0,0,81
P10076,2023-02-01,2023-02-01,active,Whole Life,PA,urban,Agent,quarterly,1,55.0,46144.61,750000,2147.3,1610.48,0,1,0.0,0.0,0,79
P10076,2023-07-01,2023-02-01,active,Whole Life,PA,urban,Agent,quarterly,1,55.4,,750000,2147.3,1073.65,0,1,300.78,0.0,0,73
P10163,2023-01-01,2022-12-01,active,Term Life,CA,rural,Agent,annual,1,58.1,85578.21,250000,171.72,515.17,0,0,0.0,0.0,0,70
P10102,2023-11-01,2022-07-01,active,Whole Life,AZ,suburban,Broker,annual,0,60.3,79520.99,500000,354.82,1064.46,0,2,835.75,0.0,0,87
P10198,2024-06-01,2022-02-01,active,Whole Life,AZ,urban,Direct,monthly,1,71.3,117887.98,250000,1556.73,389.18,0,3,542.47,0.0,0,81
