policy_id,snapshot_date,issue_date,status,product_type,state,urbanicity,distribution_channel,payment_mode,autopay_flag,current_age,income_estimate,face_amount,annualized_premium,premium_paid_last_3m,missed_payment_count_6m,agent_touch_count_12m,cash_value,loan_balance,address_change_12m,beneficiary_change_12m,lapse_next_month
P10000,2023-01-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.5,80745.6,500000,3294.52,549.09,0,2,100.23,0.0,1,0,0
P10000,2023-02-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.6,80745.6,500000,3294.52,823.63,0,2,342.06,0.0,0,0,0
P10000,2023-03-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.7,80745.6,500000,3294.52,823.63,0,3,192.64,0.0,0,0,0
P10000,2023-04-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.8,80745.6,500000,3294.52,823.63,0,2,316.58,0.0,0,0,0
P10000,2023-05-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.8,80745.6,500000,3294.52,823.63,0,4,481.39,0.0,0,0,0
P10000,2023-06-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,53.9,80745.6,500000,3294.52,823.63,0,4,324.3,0.0,0,0,0
P10000,2023-07-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.0,80745.6,500000,3294.52,549.09,0,3,235.39,0.0,0,0,0
P10000,2023-08-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.1,80745.6,500000,3294.52,549.09,0,2,315.21,0.0,0,0,0
P10000,2023-09-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.2,80745.6,500000,3294.52,549.09,0,2,551.41,0.0,1,0,0
P10000,2023-10-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.2,80745.6,500000,3294.52,823.63,0,2,393.18,0.0,0,0,0
P10000,2023-11-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.3,80745.6,500000,3294.52,823.63,0,2,407.01,0.0,0,0,0
P10000,2023-12-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.4,80745.6,500000,3294.52,823.63,0,2,416.76,0.0,0,0,0
P10000,2024-01-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.5,80745.6,500000,3294.52,823.63,0,2,384.32,89.7,0,0,0
P10000,2024-02-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.6,80745.6,500000,3294.52,823.63,0,2,593.27,0.0,0,0,0
P10000,2024-03-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.7,80745.6,500000,3294.52,823.63,1,4,867.4,0.0,0,0,0
P10000,2024-04-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.8,80745.6,500000,3294.52,823.63,1,4,996.63,0.0,0,0,0
P10000,2024-05-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.8,80745.6,500000,3294.52,823.63,0,3,736.85,0.0,0,0,0
P10000,2024-06-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,54.9,80745.6,500000,3294.52,823.63,0,4,685.38,0.0,0,0,0
P10000,2024-07-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.0,80745.6,500000,3294.52,549.09,0,2,779.31,0.0,0,0,0
P10000,2024-08-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.1,80745.6,500000,3294.52,823.63,0,2,665.54,0.0,0,1,0
P10000,2024-09-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.2,80745.6,500000,3294.52,823.63,0,2,728.16,0.0,0,0,0
P10000,2024-10-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.2,80745.6,500000,3294.52,823.63,0,3,862.79,0.0,0,0,0
P10000,2024-11-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.3,80745.6,500000,3294.52,549.09,0,2,637.34,0.0,0,0,0
P10000,2024-12-01,2022-07-01,active,Universal Life,OH,urban,Agent,monthly,1,55.4,80745.6,500000,3294.52,823.63,0,3,820.36,0.0,0,0,0
P10001,2023-01-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,55.6,42681.19,750000,2685.96,447.66,0,4,1688.87,0.0,0,0,0
P10001,2023-02-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,55.7,42681.19,750000,2685.96,671.49,0,1,1409.18,463.1,0,0,0
P10001,2023-03-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,55.8,42681.19,750000,2685.96,671.49,0,2,2251.02,0.0,0,0,0
P10001,2023-04-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,55.8,42681.19,750000,2685.96,671.49,0,1,2660.84,0.0,0,0,0
P10001,2023-05-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,55.9,42681.19,750000,2685.96,671.49,0,1,2345.72,0.0,0,0,0
P10001,2023-06-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.0,42681.19,750000,2685.96,671.49,0,1,1306.01,0.0,0,0,0
P10001,2023-07-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.1,42681.19,750000,2685.96,671.49,0,2,1491.92,0.0,0,0,0
P10001,2023-08-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.2,42681.19,750000,2685.96,447.66,0,3,2585.78,0.0,0,0,0
P10001,2023-09-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.2,42681.19,750000,2685.96,671.49,0,2,1767.21,0.0,0,0,0
P10001,2023-10-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.3,42681.19,750000,2685.96,671.49,0,3,1731.73,207.1,0,0,0
P10001,2023-11-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.4,42681.19,750000,2685.96,671.49,0,3,2234.77,0.0,0,0,0
P10001,2023-12-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.5,42681.19,750000,2685.96,671.49,0,1,1257.0,0.0,1,0,0
P10001,2024-01-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.6,42681.19,750000,2685.96,671.49,0,3,1255.54,0.0,0,1,0
P10001,2024-02-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.7,42681.19,750000,2685.96,447.66,0,4,2247.43,0.0,0,0,0
P10001,2024-03-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.8,42681.19,750000,2685.96,447.66,0,1,1595.23,0.0,0,0,0
P10001,2024-04-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.8,42681.19,750000,2685.96,671.49,0,1,1933.75,0.0,0,0,0
P10001,2024-05-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,56.9,42681.19,750000,2685.96,671.49,0,1,2948.95,0.0,0,0,0
P10001,2024-06-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.0,42681.19,750000,2685.96,671.49,0,3,3334.44,0.0,0,0,0
P10001,2024-07-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.1,42681.19,750000,2685.96,671.49,0,3,3415.08,0.0,0,0,0
P10001,2024-08-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.2,42681.19,750000,2685.96,671.49,0,1,2051.83,0.0,0,0,0
P10001,2024-09-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.2,42681.19,750000,2685.96,671.49,0,1,1801.56,0.0,0,0,0
P10001,2024-10-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.3,42681.19,750000,2685.96,671.49,0,2,1571.43,0.0,0,0,0
P10001,2024-11-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.4,42681.19,750000,2685.96,671.49,0,2,1283.27,0.0,0,0,0
P10001,2024-12-01,2017-06-01,active,Whole Life,GA,urban,Bank,monthly,1,57.5,42681.19,750000,2685.96,671.49,0,1,2122.08,0.0,0,0,0
P10002,2023-01-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.4,59820.29,250000,2060.25,515.06,0,0,124.04,0.0,0,0,0
P10002,2023-02-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.5,59820.29,250000,2060.25,515.06,0,2,125.34,0.0,0,0,0
P10002,2023-03-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.6,59820.29,250000,2060.25,515.06,0,0,143.15,0.0,0,0,0
P10002,2023-04-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.7,59820.29,250000,2060.25,515.06,0,1,112.39,0.0,0,0,0
P10002,2023-05-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.8,59820.29,250000,2060.25,515.06,0,0,109.16,0.0,0,0,0
P10002,2023-06-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.8,59820.29,250000,2060.25,515.06,0,0,119.86,0.0,0,0,0
P10002,2023-07-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,56.9,59820.29,250000,2060.25,515.06,0,1,223.12,0.0,0,0,0
P10002,2023-08-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.0,59820.29,250000,2060.25,343.38,0,0,150.11,0.0,0,0,0
P10002,2023-09-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.1,59820.29,250000,2060.25,515.06,0,1,165.99,0.0,0,0,0
P10002,2023-10-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.2,59820.29,250000,2060.25,515.06,0,1,181.02,0.0,1,0,0
P10002,2023-11-01,2022-08-01,active,Whole Life,NY,suburban,Agent,monthly,1,57.2,59820.29,250000,2060.25,515.06,0,0,230.53,0.0,0,0,0
